job_role,skills
Data Analyst,"Python, SQL, Excel, Power BI, Tableau, Statistics"
Data Scientist,"Python, Machine Learning, Deep Learning, SQL, Pandas, NumPy, TensorFlow"
Machine Learning Engineer,"Python, Scikit-learn, TensorFlow, PyTorch, MLOps, Docker"
AI Engineer,"Python, NLP, Computer Vision, Deep Learning, Transformers, APIs"
Business Analyst,"SQL, Excel, Requirement Gathering, Power BI, Stakeholder Management"
Data Engineer,"Python, SQL, Spark, Hadoop, ETL, Airflow"
Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform"
DevOps Engineer,"CI/CD, Jenkins, Docker, Kubernetes, Linux, Git"
Frontend Developer,"HTML, CSS, JavaScript, React, Angular, Vue"
Backend Developer,"Python, Java, Node.js, REST API, SQL, Microservices"
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, SQL"
Mobile App Developer,"Flutter, React Native, Kotlin, Swift, REST APIs"
Android Developer,"Java, Kotlin, Android SDK, Firebase"
iOS Developer,"Swift, Objective-C, Xcode, REST APIs"
Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Firewalls"
Ethical Hacker,"Penetration Testing, Kali Linux, Metasploit, OWASP"
Network Engineer,"TCP/IP, Routing, Switching, Firewalls, Cisco"
System Administrator,"Linux, Windows Server, Active Directory, Shell Scripting"
Database Administrator,"Linux, Windows Server, Active Directory, Shell Scripting"
Blockchain Developer,"Solidity, Ethereum, Smart Contracts, Web3"
UI/UX Designer,"Figma, Adobe XD, Wireframing, Prototyping, User Research"
Product Manager,"Agile, Scrum, Roadmapping, Stakeholder Management"
Project Manager,"Agile, Scrum, Risk Management, Budgeting"
QA Engineer,"Selenium, Manual Testing, Automation Testing, JIRA"
Test Automation Engineer,"Selenium, Cypress, Python, TestNG"
Game Developer,"Unity, Unreal Engine, C#, C++"
AR/VR Developer,"Unity, C#, 3D Modeling, ARKit, ARCore"
Embedded Systems Engineer,"C, C++, Microcontrollers, RTOS"
IoT Engineer,"Embedded C, MQTT, Raspberry Pi, Sensors"
Robotics Engineer,"ROS, Python, C++, Control Systems"
Site Reliability Engineer,"Linux, Monitoring, Kubernetes, AWS"
Solutions Architect,"Cloud Architecture, AWS, System Design"
Technical Support Engineer,"Troubleshooting, Networking, Customer Support"
IT Support Specialist,"Hardware, Software Installation, Networking"
SAP Consultant,"SAP Modules, ERP, Business Process"
Salesforce Developer,"Apex, Lightning, CRM"
Digital Marketing Specialist,"SEO, SEM, Google Analytics, Content Marketing"
SEO Specialist,"Keyword Research, Google Search Console, Analytics"
Content Writer,"SEO Writing, Research, Editing"
Social Media Manager,"Content Strategy, Analytics, Campaign Management"
Graphic Designer,"Photoshop, Illustrator, Canva"
Video Editor,"Premiere Pro, After Effects, Video Production"
HR Manager,"Recruitment, Payroll, Employee Engagement"
Recruiter,"Talent Acquisition, Interviewing, ATS"
Financial Analyst,"Excel, Financial Modeling, Forecasting"
Investment Banker,"Valuation, Financial Modeling, M&A"
Chartered Accountant,"Taxation, Auditing, Financial Reporting"
Operations Manager,"Supply Chain, Logistics, Process Optimization"
Supply Chain Analyst,"Inventory Management, Forecasting, ERP"
Logistics Coordinator,"Transportation, Vendor Management"
Mechanical Engineer,"AutoCAD, SolidWorks, Manufacturing"
Civil Engineer,"AutoCAD, Structural Analysis, Project Management"
Electrical Engineer,"Circuit Design, MATLAB, PLC"
Electronics Engineer,"Embedded Systems, PCB Design"
Biomedical Engineer,"Medical Devices, Signal Processing"
Chemical Engineer,"Process Design, Simulation"
Environmental Engineer,"Sustainability, Waste Management"
Energy Analyst,"Renewable Energy, Data Analysis"
Research Scientist,"Data Analysis, Experimentation, Publishing"
Statistician,"R, Python, Statistical Modeling"
Economist,"Econometrics, Data Analysis"
Actuary,"Risk Modeling, Statistics, Excel"
Teacher,"Subject Knowledge, Classroom Management"
Professor,"Research, Teaching, Publishing"
Lawyer,"Legal Research, Drafting, Litigation"
Paralegal,"Legal Documentation, Research"
Architect,"AutoCAD, Revit, Design Principles"
Interior Designer,"Space Planning, 3D Modeling"
Chef,"Culinary Skills, Food Safety"
Hotel Manager,"Hospitality Management, Operations"
Event Manager,"Event Planning, Vendor Coordination"
Sales Executive,"Lead Generation, Negotiation"
Business Development Manager,"Market Research, Strategy"
Customer Success Manager,"CRM, Client Relationship"
Pharmacist,"Pharmacy Practice, Drug Knowledge"
